priority_candidate,name,city,typology,typology_detail,segment,channel,project_role,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes
No,Bloom Arch,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,No,"Office address given (Maqtumquli 93/2) but described as a design studio/office, not a materials showroom.",Medium,"Not explicit but portfolio includes residential complexes, commercial developments and eco-city master plans - signals higher-end commissions",Design+Build,info@bloomarch.uz,+998 88 022 78 33,"Maqtumquli 93/2, Tashkent, Uzbekistan 100000",Instagram,English,https://bloomarch.uz/,Not determinable,"Customized and scalable design solutions | Meaningful architecture that makes daily life more comfortable, beautiful and functional | Professional team of architects, engineers and designers","Also does interior design for hotels/restaurants/offices/shops, urban master planning, and author's supervision. Instagram @bloomarchstudio; also on LinkedIn and Behance."
No,NeoStyle,Tashkent,Hybrid,Architecture/design studio combined with full renovation & finishing (remont i otdelka) contracting,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,Site fetch blocked (403) on multiple pages; no independent confirmation of showroom.,Medium,Not determinable,Design+Build,,,Not determinable,Website,Russian,https://www.neostyle.uz/uslugi/architektura,Not determinable,"150+ completed projects for private clients and large companies | Full service: architecture, interior design, renovation and finishing under one roof","Combines architecture services (neostyle.uz/uslugi/architektura) with renovation/finishing services (neostyle.uz/uslugi/remont-i-otdelka) - a Design+Build hybrid worth deeper follow-up. | v2.0 cross-check: also found independently via Instagram (@neostyle.uz) under the query ""budget/economy turnkey renovation"" — confirms this account as findable through both premium-architecture and budget-renovation search angles."
Yes,Premium Stroy,Tashkent,Contractor,,D. Contractors / EPC Firms,Retail,,Yes,"Physical office address with daily walk-in hours (09:00-22:00) published at Babura Street 21A, Yakkasaray District.",High,"Name and messaging signal 'premium' positioning explicitly (""Premium Stroy"")",Design+Build,premiumstroyuz@yandex.ru,+998 99 774 42 39,"Tashkent, Yakkasaray District, Babura Street 21A",Instagram,Russian,https://premiumstroy.uz/about,Partners with major international furniture manufacturers (unnamed),"High quality (ВЫСОКОЕ КАЧЕСТВО) professional high-quality repair services | Management team with European and Russian work experience | 10+ years of experience across residential, commercial, office and cottage projects","Services: cosmetic/euro/capital/designer repairs, turnkey renovation, interior design, plumbing, electrical, landscape work. Instagram @premiumuzstroy, Telegram @omgfarik."
No,Elite Remont,Tashkent,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,Direct site fetch failed (server error); relying on search snippet only.,High,"""Elite"" (элитный) in brand name signals premium positioning",Design+Build,,,Not determinable,Website,Russian,https://elite-remont.uz/,Not determinable,Turnkey apartment and house renovation across Uzbekistan | Guarantee of transparency and quality of work,Needs follow-up scrape/social lookup - technical error prevented full extraction.
No,Azen Group,Tashkent,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,Direct site fetch blocked (403); relying on search snippet only.,Medium,Not determinable,Design+Build,,,Not determinable (operates in Tashkent and Samarkand),Website,Russian,https://azen-group.uz/,Not determinable,Turnkey apartment and office renovation in Tashkent and Samarkand,Multi-city contractor (Tashkent + Samarkand); needs follow-up via Instagram/Telegram.
No,NRG,Tashkent,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,"Large active developer (188,430 sqm built, 225 staff) with multiple residential complexes; sales offices likely exist per project but not itemized in sources found.",High,Segments span Comfort/Business/Premium - explicit Premium tier exists,Design+Build+Develop,,1060 (short number),"Tashkent (multiple project sites incl. Yunusabad, Mirzo-Ulugbek)",Website,Russian,https://realting.uz/developers/nrg,Smart-home technology integration,"One of the largest developers in the Tashkent real estate market, founded 2020 | Comfort, Business and Premium category residential complexes | Quality, safety, comfort, innovation and smart-technologies","9 active projects incl. NRG Yangi Baxt, NRG Qorasuv, NRG Hayot, NRG ZAMON, NRG Yunusabad. Official site www.u-nrg.uz (timed out on direct fetch)."
Yes,Golden House Development (INFINITY Club House),Tashkent,Developer,,E. Developers & Project Ecosystem,Retail,,Yes,"Dedicated sales office in Infinity business center, Yashnabad District, with daily 9:00-19:00 hours - functions as a project showroom for prospective buyers.",High,luxury / premium-class / exclusive club residence - top of market positioning,Design+Build+Develop,,+998 78 150-11-11,"Yashnabad District, 5th lane of Sadyk Azimov, ""Infinity"" business center, Tashkent",Multiple,Russian,https://gh.uz/infinity/,Natural finishing materials in common areas; architectural design by Benoy and Chapman & Taylor (international design firms),Luxury premium-class residence (Роскошная резиденция премиум класса) | First and only house meeting 'club parameters' - only 35 exclusive apartments | An island of tranquility where city noise doesn't reach,"Social: facebook.com/goldenhouseuz, instagram.com/goldenhouseuz, t.me/goldenhouseuz, YouTube channel. Strong candidate for premium retail material placement given INFINITY's exclusive positioning."
No,Zaytun Group,Tashkent,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,Official domain (www.zaytun-group.uz) failed DNS resolution during verification; relying on search snippets and aggregator listings.,Medium,Not determinable,Design+Build+Develop,,,"Tashkent, Yakkasaray District, Shota Rustaveli St. (per aggregator listing)",Website,Russian,https://www.gazeta.uz/ru/2022/10/18/zaytun-group/,Not determinable,12 years building modern residential and commercial real estate across Uzbekistan | 800+ units of comfortable housing delivered,"Also listed on aggregators salomuy.uz, immo.uz, domtut.uz. Site currently unreachable - may need re-verification of live domain."
No,GABUS,Tashkent,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,No independent site found/reachable; relying on aggregator/news snippets describing GABUS as a leading elite-housing developer.,High,elitnaya nedvizhimost (elite real estate) - explicit high-end positioning,Design+Build+Develop,,,"Active in Mirabad, Yakkasaray and Yunusabad districts, Tashkent",Website,Russian,https://tashkentestate.uz/news-gabus.html,Not determinable,"Leading firm in Tashkent's elite (elitnaya) residential construction sector | 2-5 room apartment layouts, most projects available with mortgage financing","Listed across immo.uz, stroyka.uz, domtut.uz aggregators; largest elite-housing developer named alongside INFINITY/Golden House in market overviews. Direct company site not found in this research pass."
Yes,INTERSTONE,Tashkent,Hybrid,Showroom for artificial/quartz stone + kitchen & bath countertop fabrication and design consultation,A. Premium Materials & Bath Showrooms,Retail,,Yes,"Named physical showroom address (Yashnabad District, Nigora St., Passage 3, Bldg 37A) with published weekday business hours 9:00-18:00.",High,"premium/expert-center positioning; imported Asian quartz/acrylic brands (not local low-cost granite) | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Install+Supply,office@interstone.uz,+998 91 005 45 49,"Tashkent, Yashnabad District, Nigora Street, 3rd Passage, 37A",Website,Russian,https://interstone.uz/,"Avant Quartz (China), Noblle Quartz (China), GRANDEX acrylic stone (South Korea), NEOMARM acrylic stone (China)","High-tech solution (высокотехнологичное решение) combining aesthetics, durability and functionality | Highest quality standards - positioned as an expert center (экспертный центр) | 200+ color options, 150+ acrylic designs, 80+ marble-look patterns","Products: countertops, sinks, bathroom fixtures, stairs. Online design visualization tool. Facebook: interstoneuzb, Instagram: @interstone.uz. Strong direct-competitor/comparator for Cosentino's Silestone/Dekton positioning."
Yes,Imperial Granite,"Tashkent (Yangiyo'l, Tashkent Region)",Hybrid,"Natural stone (marble/granite) showroom, fabrication and installation",A. Premium Materials & Bath Showrooms,Retail,,Yes,"Production/showroom facility address given (Yangiyo'l, Eski Qo'vunchi, Kirsadok District); 85 staff and 20+ years operating history imply a substantial physical facility.",High,"Positions on both premium material range (onyx, agate) and price competitiveness",Design+Install+Supply,imperial_granit@mail.ru,+998 99 307 55 55 / +998 97 017 55 55,"110807, Yangiyo'l, Eski Qo'vunchi, Kirsadok District, Tashkent Region, Uzbekistan",Multiple,English,https://imperialgranite.uz/,"Granite, marble, onyx, travertine, agate, quartzite","Leading supplier with over two decades of operation | Superior quality and service, best prices on the marble and granite market | 350+ completed projects","85 staff, established 2000, 25+ awards/certifications. Facilities technically in Yangiyo'l (Tashkent Region, ~30km from Tashkent city) but serves the Tashkent market and is commonly listed among Tashkent-area suppliers. Social: Instagram/Telegram @imperialgranit, Facebook facebook.com/imperialgranit."
Yes,Natural Stone Service (marble.uz),Tashkent,Hybrid,Natural stone (marble/granite/onyx) showroom and fabrication workshop,A. Premium Materials & Bath Showrooms,Retail,,Yes,"Showroom address published (Mirzo-Ulugbek District, Ulugbeka St. 46).",High,"Mixed messaging - ""affordable price"" alongside ""exclusive/luxurious/aristocratic"" - likely mid-to-premium | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Install+Supply,,+998 90-979-18-80 / +998 91-165-10-26,"Tashkent, Mirzo-Ulugbek District, Ulugbeka Street, Building 46",Website,Russian,https://marble.uz/,"Granite: Labrodit, Desert Gold, Golden Galaxy; Marble: Amazonite, Cream Marfil, Emperador Dark, Carrara; also onyx and travertine","Natural marble in Tashkent at an affordable price | High-quality, durable granite products | Exclusive, luxurious, majestic and aristocratic aesthetic","Also produces countertops, stairs, fireplaces, balustrades, wall cladding. Social: facebook.com/marbleuz, instagram.com/marble.uz."
Yes,KS Lux,Tashkent,Hybrid,Porcelain/large-format tile showroom + general construction/finishing materials retailer,A. Premium Materials & Bath Showrooms,Retail,,Yes,"Positioned as a materials retail store (""магазин строительных и отделочных материалов"") in Tashkent; carries imported large-format porcelain slabs, implying physical display/showroom for such products.",High,"Carries premium Italian brand Laminam (a Cosentino/Dekton competitor category) alongside more accessible Spanish Geolam - signals mid-to-premium tile assortment | v2.0 cross-check: entry tiles from ~203,150 сум, premium large-format panels up to ~6,022,800 сум (wide range, mid-anchored) — found independently in this pass, confirms and refines the original signal.",Design+Install+Supply,,+998 78 113 88 96,"Tashkent, Uzbekistan (exact street address not determinable)",Telegram,Russian,https://kslux.uz/catalog/keramogranit/,"Geolam (Spanish porcelain tile), Laminam (Italian large-format porcelain slabs)",Top-tier solutions in the construction sphere (лучшие решения в строительной сфере) | Competitive pricing and quality assurance,"Also referenced earlier in bathroom-design search results, suggesting some kitchen & bath crossover. Telegram support bot: t.me/ksgroup_support_bot. Direct competitor/comparator showroom for Dekton large-format slabs."
No,Infinity Design,Namangan,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 99 39... (number masked in directory listing),"Guliston neighborhood, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/infinity-design-819087/,,"Top-rated interior design studio in Namangan directory (4.73/5, 11 reviews) | Mon-Sat 09:00-18:00, lunch break 12:00-13:00",Found via RemKarta.ru local business directory (6 interior design studios listed total for Namangan). No own website or social profile identified in search; only directory listing available.
No,Castler,Namangan,Hybrid,Architecture Studio + Interior Designer + Landscape Design,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 77 00... (number masked in directory listing),"Ulitsa Islama Karimova, 21, str. 1, Namangan (also listed at ul. Khamid Olimjon 153)",Not determinable,Russian,https://namangan.remkarta.ru/namangan/castler-972510/,,"Only firm in Namangan directory combining architecture bureau + interior design studio + landscape design services | Two listed locations in the city, suggesting an established multi-service operation","Appears twice in RemKarta.ru directory (two addresses/branches) under three categories: architecture bureaus, interior design studios, landscape design studios."
No,Minimal Interior Design Studio,Namangan,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,Namangan (exact address not captured),Not determinable,Russian/English,https://yandex.ru/maps/org/minimal_interior_design_studio/38455858233/,,Listed on Yandex Maps as a dedicated interior design studio in Namangan,Appeared consistently across multiple Russian-language search queries; no independent website found.
No,IMAGINE dizayn studiyasi,Namangan,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998902000167 / +998916155802,Not determinable,Instagram,Uzbek,https://www.instagram.com/reel/DbYfQDSKMUv/,,Actively posts project reels/portfolio content on Instagram | Two direct contact phone numbers advertised in bio/captions,"Recurred across several Uzbek and Russian search queries with matching phone numbers, indicating an active, real studio. Instagram profile could not be fully scraped (login wall); info taken from public reel captions."
No,Creative Home,Namangan,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,Namangan (exact address not captured),Not determinable,Russian/Uzbek,https://yandex.uz/maps/org/216641874828/,,Listed on Yandex Maps as 'Interyer dizayni' (interior design) provider,Found via Uzbek-language search ('interyer dizayni studiyasi Namangan'); limited public information available.
No,Bobur Dizayn Studiyasi,Namangan,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Namangan,Facebook,Uzbek,https://www.facebook.com/boburdizaynstudiya/,,Dedicated Facebook business page for interior design services in Namangan,Facebook page could not be scraped in full (platform restrictions); identified via Uzbek-language search results.
No,Namangan arkh (Наманган арх),Namangan,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,Not determinable,"Ulitsa Usmana Nasyra, 9, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/namangan-arh-814112/,,One of 6 dedicated architecture bureaus listed for Namangan in local directory,Also appears on Yandex Maps as 'namangan_arkh' with the same street address; no independent website located.
No,Metric Architects,Namangan,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 99 18... (number masked in directory listing),"Severnaya koltsevaya doroga, 46, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/metric-architects-961117/,,"Open Mon-Sat 09:00-19:00, longer hours than most local peers, suggesting active client-facing practice",English-sounding studio name suggests a modern/contemporary positioning; no independent website found.
No,Techno Engineering Expert,Namangan,Architecture Studio,Architecture + engineering/design bureau,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 97 25... (number masked in directory listing),"Ulitsa N. Namangani, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/techno-engineering-expert-814111/,,Name signals combined architectural + engineering design services,Also listed on Yandex Maps under 'architectural_firm' category for Namangan region.
No,Ziyoli Loyiha,Namangan,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,Not determinable,"Ulitsa Galaba, 18, Namangan",Not determinable,Uzbek/Russian,https://namangan.remkarta.ru/namangan/ziyoli-loyiha-814110/,,'Ziyoli Loyiha' translates roughly to 'Intellectual/Enlightened Project' - positions as a design-forward practice,Open Mon-Sat 08:00-19:00 with lunch break; no independent website found.
No,Luxhouse (Namangan service page),Namangan,Hybrid,Architecture Studio + Interior Designer (regional branch/service area of a Tashkent-headquartered multi-city studio),C. Boutique Interior Design & Architecture Studios,Retail,,No,"No local Namangan office address given; only contact address listed is the Tashkent HQ (ul. Navoi 9, office 412). Namangan page functions as a service-area landing page, not a confirmed physical branch.",High,"Premium positioning implied by portfolio (bank HQ interiors, hotel/restaurant complexes, developer sales offices)",Design only,luxhouse_s@mail.ru,+998 88 111 90 90 / +998 90 348 10 47,"100071, Tashkent, ul. Navoi 9, office 412 (HQ; serves Namangan remotely/on-project-basis)",Multiple,Russian,https://luxhouse.uz/namangan,,"""We create unique architectural projects, stylish interiors and functional spaces"" - full-service architecture + commercial/residential interior design + landscaping | Portfolio includes AgroBank interior and the sales office for developer Golden House | Part of a multi-city network (Tashkent, Samarkand, Andijan, Bukhara, Fergana, plus Kazakhstan/Russia franchises)","Genuinely active, professional studio with strong portfolio, but no verified physical presence in Namangan itself - likely serves Namangan clients from Tashkent. Included as a relevant Design+Architecture actor targeting the Namangan market; worth verifying local office before outreach."
No,Farchitects Design Bureau (Farchitects Group of Companies),Namangan,Architecture Studio,International architecture/design bureau active on a large-scale Namangan-region project,C. Boutique Interior Design & Architecture Studios,Retail,,No,No physical office or showroom in Namangan identified; company appears headquartered internationally (Azerbaijan/UK-linked entities) with project-based presence in Namangan region.,High,High-end resort/large-scale development project signals premium positioning,Not determinable,,,"Not determinable (project site: Chodak area, Namangan Region)",Multiple,English,https://amcham.az/en/post/1796,,"Presented the concept design for 'Namangan Resort', a large-scale development planned for the Chodak area of Namangan Region | ""WE ARE ARCHITECTURE DESIGN BUREAU - We make your life more comfortable!""","Included because of a documented large-scale project in the Namangan region, but this is a foreign-based bureau (LinkedIn lists an Azerbaijan entity; also has a .co.uk site) without confirmed local Namangan office - lower confidence as a physical retail/exhibition contact."
No,STEP Фабрика мебели (Egamberdiev Mebel Fabrikasi),Namangan,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Yes,"Listed as a furniture factory ('фабрика мебели') with a physical street address in Namangan, implying an on-site showroom/factory outlet typical of this business type.",Medium,"v2.0: inferred from segment positioning (B. Premium Kitchen & Custom Furniture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,abdufattayev98@gmail.com,+998 55... (number masked in directory listing),"160800, Namangan region, Namangan, ul. Beruni Sohili, 6",Website,Russian,https://www.yellowpages.uz/kompaniya/step-fabrika-mebeli,,"Only company formally listed under 'Kitchen furniture, custom kitchens' category for Namangan on Yellow Pages Uzbekistan | Operates as a furniture factory (own production), brand name 'STEP'","Listed website 'stepmebel.uz' could not be reached (DNS resolution failed at time of research) - may be inactive/changed domain; legal name is 'Egamberdiev Mebel Fabrikasi' ЧП, which closely matches the Instagram handle 'egamebel_uz' found in earlier searches (likely the same business)."
No,AL AZIZ MEBEL,Namangan,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (B. Premium Kitchen & Custom Furniture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,+998882555566 / +998993200007 / +998931936068,Namangan (Mingbuloq area referenced); free delivery within Namangan city,Instagram,Uzbek,https://www.instagram.com/al_aziz_mebelnamangan_uz/,,"Custom-order kitchen, wardrobe and bedroom furniture ('Oshxona | Shkaf | Yotoqxona') | Advertises '1 year service warranty' and free delivery across Namangan city | ""Sifat & aniqlik"" (Quality & precision) as tagline","Multiple related/possibly-affiliated Instagram accounts found (al_aziz_mebelnamangan_uz, all.aziz.mebel, Al Aziz Mebel Facebook page) - likely the same family business operating across platforms."
No,Namangan Mebel Zakaz,Namangan,Kitchen,Custom furniture incl. kitchens,B. Premium Kitchen & Custom Furniture Studios,Retail,,Not determinable,,High,Value/mid-market signal ('optimal prices') rather than premium,Design+Install+Supply,,+99893 943 55 34,Namangan,Instagram,Russian,https://www.instagram.com/namangan_mebel_zakaz/,,"""Оптимальные цены и отличное качество"" (Optimal prices and excellent quality) | Product range: kitchen furniture, bedroom sets, children's furniture",Active Instagram presence with consistent phone number across multiple posts/reels found in search.
No,GTG Elevator Group,Namangan,Contractor,Elevator & MEP systems supplier/installer (construction-adjacent),D. Contractors / EPC Firms,Retail,,No,B2B equipment supplier/installer profile; no retail showroom evidence.,Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,grandtechg@gmail.com,+998... (number masked in directory listing),"Namangan region, 160100, Namangan, ul. Turakurgan, 180",Website,Russian,https://top.uz/company/gtg-elevator-group-ooo,,Listed under 'Elevators' and 'Security equipment' categories in addition to construction organizations,Website grandtech.uz listed but not independently verified/scraped; included as one of only five formally listed construction organizations for Namangan on Top.uz.
