id_actor,name,city,typology,typology_detail,channel,canal_secundario,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes,data_source,tool_used,priority_candidate_v2,_source_file,is_priority,priority_rank,entry_angle,project_role
zaytun-group-tashkent,Zaytun Group,Tashkent,Developer,,Proyectos,,Not determinable,Official domain (www.zaytun-group.uz) failed DNS resolution during verification; relying on search snippets and aggregator listings.,Medium,Not determinable,Design+Build+Develop,,,"Tashkent, Yakkasaray District, Shota Rustaveli St. (per aggregator listing)",Website,Russian,https://www.gazeta.uz/ru/2022/10/18/zaytun-group/,Not determinable,12 years building modern residential and commercial real estate across Uzbekistan | 800+ units of comfortable housing delivered,"Also listed on aggregators salomuy.uz, immo.uz, domtut.uz. Site currently unreachable - may need re-verification of live domain. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
gabus-tashkent,GABUS,Tashkent,Developer,,Proyectos,,Not determinable,No independent site found/reachable; relying on aggregator/news snippets describing GABUS as a leading elite-housing developer.,High,elitnaya nedvizhimost (elite real estate) - explicit high-end positioning,Design+Build+Develop,,,"Active in Mirabad, Yakkasaray and Yunusabad districts, Tashkent",Website,Russian,https://tashkentestate.uz/news-gabus.html,Not determinable,"Leading firm in Tashkent's elite (elitnaya) residential construction sector | 2-5 room apartment layouts, most projects available with mortgage financing","Listed across immo.uz, stroyka.uz, domtut.uz aggregators; largest elite-housing developer named alongside INFINITY/Golden House in market overviews. Direct company site not found in this research pass. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
namangan-arkh-namangan,Namangan arkh (Наманган арх),Namangan,Architecture Studio,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,Not determinable,"Ulitsa Usmana Nasyra, 9, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/namangan-arh-814112/,,One of 6 dedicated architecture bureaus listed for Namangan in local directory,"Also appears on Yandex Maps as 'namangan_arkh' with the same street address; no independent website located. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
metric-architects-namangan,Metric Architects,Namangan,Architecture Studio,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 99 18... (number masked in directory listing),"Severnaya koltsevaya doroga, 46, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/metric-architects-961117/,,"Open Mon-Sat 09:00-19:00, longer hours than most local peers, suggesting active client-facing practice","English-sounding studio name suggests a modern/contemporary positioning; no independent website found. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
techno-engineering-expert-namangan,Techno Engineering Expert,Namangan,Architecture Studio,Architecture + engineering/design bureau,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 97 25... (number masked in directory listing),"Ulitsa N. Namangani, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/techno-engineering-expert-814111/,,Name signals combined architectural + engineering design services,"Also listed on Yandex Maps under 'architectural_firm' category for Namangan region. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
ziyoli-loyiha-namangan,Ziyoli Loyiha,Namangan,Architecture Studio,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,Not determinable,"Ulitsa Galaba, 18, Namangan",Not determinable,Uzbek/Russian,https://namangan.remkarta.ru/namangan/ziyoli-loyiha-814110/,,'Ziyoli Loyiha' translates roughly to 'Intellectual/Enlightened Project' - positions as a design-forward practice,"Open Mon-Sat 08:00-19:00 with lunch break; no independent website found. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
luxhouse-namangan-service-page-namangan,Luxhouse (Namangan service page),Namangan,Hybrid,Architecture Studio + Interior Designer (regional branch/service area of a Tashkent-headquartered multi-city studio),Proyectos,Retail,No,"No local Namangan office address given; only contact address listed is the Tashkent HQ (ul. Navoi 9, office 412). Namangan page functions as a service-area landing page, not a confirmed physical branch.",High,"Premium positioning implied by portfolio (bank HQ interiors, hotel/restaurant complexes, developer sales offices)",Design only,luxhouse_s@mail.ru,+998 88 111 90 90 / +998 90 348 10 47,"100071, Tashkent, ul. Navoi 9, office 412 (HQ; serves Namangan remotely/on-project-basis)",Multiple,Russian,https://luxhouse.uz/namangan,,"""We create unique architectural projects, stylish interiors and functional spaces"" - full-service architecture + commercial/residential interior design + landscaping | Portfolio includes AgroBank interior and the sales office for developer Golden House | Part of a multi-city network (Tashkent, Samarkand, Andijan, Bukhara, Fergana, plus Kazakhstan/Russia franchises)","Genuinely active, professional studio with strong portfolio, but no verified physical presence in Namangan itself - likely serves Namangan clients from Tashkent. Included as a relevant Design+Architecture actor targeting the Namangan market; worth verifying local office before outreach. | v3.0 reclass: Portfolio explicitly includes an interior design commission for developer Golden House's sales office plus a bank (AgroBank) branch interior, alongside general residential/commercial design claims -> dual-listed, with Proyectos as primary given the direct developer relationship.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
farchitects-design-bureau-farchitects-group-of-companies-namangan,Farchitects Design Bureau (Farchitects Group of Companies),Namangan,Architecture Studio,International architecture/design bureau active on a large-scale Namangan-region project,Proyectos,,No,No physical office or showroom in Namangan identified; company appears headquartered internationally (Azerbaijan/UK-linked entities) with project-based presence in Namangan region.,High,High-end resort/large-scale development project signals premium positioning,Not determinable,,,"Not determinable (project site: Chodak area, Namangan Region)",Multiple,English,https://amcham.az/en/post/1796,,"Presented the concept design for 'Namangan Resort', a large-scale development planned for the Chodak area of Namangan Region | ""WE ARE ARCHITECTURE DESIGN BUREAU - We make your life more comfortable!""","Included because of a documented large-scale project in the Namangan region, but this is a foreign-based bureau (LinkedIn lists an Azerbaijan entity; also has a .co.uk site) without confirmed local Namangan office - lower confidence as a physical retail/exhibition contact. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
gtg-elevator-group-namangan,GTG Elevator Group,Namangan,Contractor,Elevator & MEP systems supplier/installer (construction-adjacent),Proyectos,,No,B2B equipment supplier/installer profile; no retail showroom evidence.,Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,grandtechg@gmail.com,+998... (number masked in directory listing),"Namangan region, 160100, Namangan, ul. Turakurgan, 180",Website,Russian,https://top.uz/company/gtg-elevator-group-ooo,,Listed under 'Elevators' and 'Security equipment' categories in addition to construction organizations,"Website grandtech.uz listed but not independently verified/scraped; included as one of only five formally listed construction organizations for Namangan on Top.uz. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
firuza-namangan,Firuza МЧФ,Namangan,Contractor,,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build,,+998... (number masked in directory listing),"Namangan region, Namangan, ul. Amira Temura, 97",Not determinable,Russian,https://top.uz/company/firuza-mchf,,Formally registered general construction/repair organization (МЧФ - private family firm) in Namangan,"One of only 5 companies formally listed under 'Construction and construction-repair organizations' for Namangan region on Top.uz directory. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
mirmax-industrial-namangan,Mirmax Industrial,Namangan,Contractor,,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build,,,Namangan region,Not determinable,Russian,https://top.uz/company/mirmax-industrial-ooo,,"Customer review: ""Very professional work"" (""Очень профессионально работают"")","Identified via a positive customer review on the Top.uz Namangan construction-companies category page; no independent website scraped. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
leader-key-house-namangan,Leader Key House,Namangan,Contractor,Turnkey renovation/repair company,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build,,,Namangan region,Not determinable,Russian,https://top.uz/company/leader-key-house-ooo,,"Name signals turnkey ('key house') renovation positioning | Mixed reviews: some praise timeliness/quality, others allege serious contract/payment issues - reputational risk flagged","CAUTION: reviews on Top.uz are notably mixed, including a serious fraud allegation (unpaid workers/clients) alongside positive reviews. Recommend independent verification before any partnership outreach. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
chortoq-samo-qurilish-ta-mir-namangan,Chortoq Samo Qurilish Ta'mir,Namangan,Contractor,,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build,,+998... (number masked in directory listing),"Namangan region, Chartak, pos. Koroskhon, 33",Not determinable,Uzbek/Russian,https://top.uz/company/chortoq-samo-qurilish-ta-mir-ooo,,"Formally registered construction/repair organization based in Chartak district, Namangan region","Based in Chartak (a district town within Namangan region rather than Namangan city itself) - included for regional coverage; verify proximity/relevance to Namangan city retail strategy. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
mj-developers-namangan-square-namangan,MJ Developers (ЖК Namangan Square),Namangan,Developer,,Proyectos,,Not determinable,,High,"Comfort-class (mid-to-upper-mid market), described as 'international developer' with premium finish standards",Design+Build+Develop,,,Namangan city (Namangan Square project; developer HQ location not specified),Website,Russian,https://salomuy.uz/ru/housing-estate/201655,,"""Namangan Square is a landmark comfort-class residential complex from international developer MJ Developers"" - positioned as a 'city within a city' | 9-storey brick-built building with finished ('чистовая') interiors, underground+open parking, passenger elevator | Project fully built and 100% sold out, cited as proof of strong developer reputation and demand","Described as an 'international developer' active since 2010; this project is fully sold/delivered, so relevant for future project pipeline follow-up rather than immediate sample placement. Developer profile page: https://salomuy.uz/ru/developers/100687 | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
txt-group-central-avenue-namangan-namangan,TXT Group (ЖК Central Avenue Namangan),Namangan,Developer,,Proyectos,,Not determinable,"Large active developer with a dedicated sales/project page and hotline; likely has a sales office in Namangan given the scale of the project, but no address confirmed.",High,"Explicitly premium ('премиальный стиль жизни'); investment-grade pricing example given (~480M UZS / ~$37,354 apartment)",Design+Build+Develop,,1361 (national sales hotline); +7 (495) 641-35-35 (head office),"Ulitsa A. Khodzhaeva, central Namangan (Central Avenue project site)",Multiple,Russian,https://txt.group/ru/projects/central-avenue.html,,"""Central Avenue - a new premium lifestyle in Namangan"" - explicitly premium/luxury positioning | 22-storey, 5-block complex described as 'the most beautiful building in Namangan', with unique asymmetric facade, LED facade lighting, underground parking, and ground-floor retail/commercial space | Part of a larger national developer (TXT Group, operating since 2011) active across Uzbekistan","Strongest premium/high-end developer signal found for Namangan - large-scale, architecturally distinctive, explicitly marketed as premium, with ground-floor commercial/retail space that could be a natural showroom/POS location. Social channels: Instagram @txtgroup.uzb, Telegram t.me/txtgroupuzb, Facebook txtgroup.uzb. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,true,12,Explicitly premium-positioned 22-storey flagship in a secondary city with ground-floor commercial space suitable as a showroom — framework supply agreement for show-flats.,
samarkand-design-studio-samarkand,Samarkand Design Studio,Samarkand,Architecture Studio,,Proyectos,,Not determinable,,Medium,Houzz profile lists 'Typical Job Cost $7-10' (data likely incomplete/unreliable),Design+Build,,+998 91 519 52 42,"Samarkand, Massiv, ul. Turkistanskaya 157",Multiple,Russian/English,https://yandex.ru/maps/org/samarkand_design_studio/102086098474/ ; https://www.houzz.com/professionals/design-build-firms/samarkand-design-studio-pfvwus-pf~2116186988 ; https://www.facebook.com/Samarkand.design.studio/,Not determinable,"Listed on Houzz as a design-build firm, principal Shakhram Gulyamov | Interior and exterior design with authorial supervision, 10 years of experience claimed on Instagram | Typical job cost on Houzz listed at $7-10 (per design unit, likely truncated/unreliable data)","Same entity/phone number appears at two different Yandex Maps addresses (Turkistanskaya 157 and a second listing); may have relocated or have two branches. Houzz profile oddly lists a New York, NY address field, likely a platform default rather than an actual US location. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
arkh-byuro-samarkand-lartdudizayn-samarkand,ARKH BYURO Samarkand (@lartdudizayn),Samarkand,Architecture Studio,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 97 910 80 50,"Samarkand, Mingtut 20 (Silk Road area)",Instagram,Russian,https://www.instagram.com/lartdudizayn/,Not determinable,Positions itself explicitly as an architecture bureau ('АРХ БЮРО') based in Samarkand's old city/Silk Road center,"Small Instagram-only presence (297 followers), boutique/independent architect. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
luxhouse-uz-samarkand-samarkand,Luxhouse.uz — Samarkand,Samarkand,Architecture Studio,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Not determinable (Samarkand branch page has no explicit local address),Website,Russian,https://luxhouse.uz/samarkand,Not determinable,Professional architectural planning and design services for residential and commercial projects | Also offers landscaping/improvement design and 3D tours | Operates a dedicated Samarkand city landing page,"This appears to be a regional multi-city network with branches in Kazakhstan (Astana, Almaty), Uzbekistan (Tashkent, Namangan, Samarkand) and Russia — likely a franchise/lead-gen network rather than a purely local independent Samarkand studio. Verify genuine local presence/office before outreach. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
elite-building-samarkand,Elite Building,Samarkand,Hybrid,Contractor + Real Estate Developer,Proyectos,,Not determinable,,High,"Website lead form budget bands go up to '$80K+', and one project is explicitly branded 'Qorasuv Premium' | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Build+Develop,,+998 78 555 11 77,"Samarkand, Rudakiy ko'chasi 175 (also a second office at Qorasuv dahasi 110)",Multiple,Uzbek/Russian,https://elite-building.uz/kompaniya ; https://www.instagram.com/elitebuilding.uz/ ; https://uysot.uz/uz/zastroyshiki/elite-building,Not determinable,"10 years in business (since 2015), 2,500+ apartments delivered, 1,000+ employees, 7 projects | Completed/active projects: Qizil Domlar (Titanik), Qorasuv Premium, Orzular Makoni, Centrum Guliston, Orifon | Contact form segments leads by budget tiers up to $80K+, indicating mid-to-premium apartment offering",One of the more established and active developer/contractor hybrids in Samarkand with a modern branded website and active Telegram channel (@orzularmakoni_eb).,existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
home-decor-remont-v-samarkande-samarkand,Home Decor (@remont_v_samarkande),Samarkand,Contractor,,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build,,+998 91 556 99 95,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/remont_v_samarkande/,Not determinable,"Self-described as 'СТРОИТЕЛЬНАЯ КОМПАНИЯ HOME DECOR' | Turnkey apartment/office renovation, interior design, turnkey construction | Also active on Telegram","v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
global-avenue-samarkand,Global Avenue,Samarkand,Hybrid,Contractor + Real Estate Developer,Proyectos,,Not determinable,,High,Explicit 'бизнес-класса' (business class) positioning and limited penthouse units messaging,Design+Build+Develop,,+998 66 230 00 08 / +998 78 113 09 79,"Samarkand, ul. M37a area",Instagram,Russian/Uzbek,https://www.instagram.com/global_avenue_uz/,Not determinable,"'Дома, построенные с любовью' — new residential developments in Samarkand | Building a 12-story, 516-apartment residential complex as part of a large-scale renovation area | Business-class comfort positioning, limited penthouse units available",,existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
