id_actor,name,city,typology,typology_detail,channel,canal_secundario,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes,data_source,tool_used,priority_candidate_v2,_source_file,is_priority,priority_rank,entry_angle
interstone-tashkent,INTERSTONE,Tashkent,Hybrid,Showroom for artificial/quartz stone + kitchen & bath countertop fabrication and design consultation,Retail,,Yes,"Named physical showroom address (Yashnabad District, Nigora St., Passage 3, Bldg 37A) with published weekday business hours 9:00-18:00.",High,"premium/expert-center positioning; imported Asian quartz/acrylic brands (not local low-cost granite) | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Install+Supply,office@interstone.uz,+998 91 005 45 49,"Tashkent, Yashnabad District, Nigora Street, 3rd Passage, 37A",Website,Russian,https://interstone.uz/,"Avant Quartz (China), Noblle Quartz (China), GRANDEX acrylic stone (South Korea), NEOMARM acrylic stone (China)","High-tech solution (высокотехнологичное решение) combining aesthetics, durability and functionality | Highest quality standards - positioned as an expert center (экспертный центр) | 200+ color options, 150+ acrylic designs, 80+ marble-look patterns","Products: countertops, sinks, bathroom fixtures, stairs. Online design visualization tool. Facebook: interstoneuzb, Instagram: @interstone.uz. Strong direct-competitor/comparator for Cosentino's Silestone/Dekton positioning.",existing_v2_reclassified,n/a (reclassification only),Yes,retail_dataset_seed.json,true,1,"Side-by-side sample program positioned as a second/complementary premium line (direct engineered-quartz comparator, no exclusivity signal found)."
imperial-granite-tashkent-yangiyo-l-tashkent-region,Imperial Granite,"Tashkent (Yangiyo'l, Tashkent Region)",Hybrid,"Natural stone (marble/granite) showroom, fabrication and installation",Retail,,Yes,"Production/showroom facility address given (Yangiyo'l, Eski Qo'vunchi, Kirsadok District); 85 staff and 20+ years operating history imply a substantial physical facility.",High,"Positions on both premium material range (onyx, agate) and price competitiveness",Design+Install+Supply,imperial_granit@mail.ru,+998 99 307 55 55 / +998 97 017 55 55,"110807, Yangiyo'l, Eski Qo'vunchi, Kirsadok District, Tashkent Region, Uzbekistan",Multiple,English,https://imperialgranite.uz/,"Granite, marble, onyx, travertine, agate, quartzite","Leading supplier with over two decades of operation | Superior quality and service, best prices on the marble and granite market | 350+ completed projects","85 staff, established 2000, 25+ awards/certifications. Facilities technically in Yangiyo'l (Tashkent Region, ~30km from Tashkent city) but serves the Tashkent market and is commonly listed among Tashkent-area suppliers. Social: Instagram/Telegram @imperialgranit, Facebook facebook.com/imperialgranit.",existing_v2_reclassified,n/a (reclassification only),Yes,retail_dataset_seed.json,true,3,"Largest-scale natural-stone fabricator found (85 staff, 20+ yrs, 350+ projects) — candidate for a fabrication/installation partnership beyond simple sample placement."
natural-stone-service-marble-uz-tashkent,Natural Stone Service (marble.uz),Tashkent,Hybrid,Natural stone (marble/granite/onyx) showroom and fabrication workshop,Retail,,Yes,"Showroom address published (Mirzo-Ulugbek District, Ulugbeka St. 46).",High,"Mixed messaging - ""affordable price"" alongside ""exclusive/luxurious/aristocratic"" - likely mid-to-premium | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Install+Supply,,+998 90-979-18-80 / +998 91-165-10-26,"Tashkent, Mirzo-Ulugbek District, Ulugbeka Street, Building 46",Website,Russian,https://marble.uz/,"Granite: Labrodit, Desert Gold, Golden Galaxy; Marble: Amazonite, Cream Marfil, Emperador Dark, Carrara; also onyx and travertine","Natural marble in Tashkent at an affordable price | High-quality, durable granite products | Exclusive, luxurious, majestic and aristocratic aesthetic","Also produces countertops, stairs, fireplaces, balustrades, wall cladding. Social: facebook.com/marbleuz, instagram.com/marble.uz.",existing_v2_reclassified,n/a (reclassification only),Yes,retail_dataset_seed.json,,,
ks-lux-tashkent,KS Lux,Tashkent,Hybrid,Porcelain/large-format tile showroom + general construction/finishing materials retailer,Retail,,Yes,"Positioned as a materials retail store (""магазин строительных и отделочных материалов"") in Tashkent; carries imported large-format porcelain slabs, implying physical display/showroom for such products.",High,"Carries premium Italian brand Laminam (a Cosentino/Dekton competitor category) alongside more accessible Spanish Geolam - signals mid-to-premium tile assortment | v2.0 cross-check: entry tiles from ~203,150 сум, premium large-format panels up to ~6,022,800 сум (wide range, mid-anchored) — found independently in this pass, confirms and refines the original signal.",Design+Install+Supply,,+998 78 113 88 96,"Tashkent, Uzbekistan (exact street address not determinable)",Telegram,Russian,https://kslux.uz/catalog/keramogranit/,"Geolam (Spanish porcelain tile), Laminam (Italian large-format porcelain slabs)",Top-tier solutions in the construction sphere (лучшие решения в строительной сфере) | Competitive pricing and quality assurance,"Also referenced earlier in bathroom-design search results, suggesting some kitchen & bath crossover. Telegram support bot: t.me/ksgroup_support_bot. Direct competitor/comparator showroom for Dekton large-format slabs.",existing_v2_reclassified,n/a (reclassification only),Yes,retail_dataset_seed.json,true,4,"Carries Laminam (large-format porcelain comparator) — introduce Dekton as a second premium large-format line, volume discount on first order."
infinity-design-namangan,Infinity Design,Namangan,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 99 39... (number masked in directory listing),"Guliston neighborhood, Namangan",Not determinable,Russian,https://namangan.remkarta.ru/namangan/infinity-design-819087/,,"Top-rated interior design studio in Namangan directory (4.73/5, 11 reviews) | Mon-Sat 09:00-18:00, lunch break 12:00-13:00",Found via RemKarta.ru local business directory (6 interior design studios listed total for Namangan). No own website or social profile identified in search; only directory listing available.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
castler-namangan,Castler,Namangan,Hybrid,Architecture Studio + Interior Designer + Landscape Design,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 77 00... (number masked in directory listing),"Ulitsa Islama Karimova, 21, str. 1, Namangan (also listed at ul. Khamid Olimjon 153)",Not determinable,Russian,https://namangan.remkarta.ru/namangan/castler-972510/,,"Only firm in Namangan directory combining architecture bureau + interior design studio + landscape design services | Two listed locations in the city, suggesting an established multi-service operation","Appears twice in RemKarta.ru directory (two addresses/branches) under three categories: architecture bureaus, interior design studios, landscape design studios.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
minimal-interior-design-studio-namangan,Minimal Interior Design Studio,Namangan,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,Namangan (exact address not captured),Not determinable,Russian/English,https://yandex.ru/maps/org/minimal_interior_design_studio/38455858233/,,Listed on Yandex Maps as a dedicated interior design studio in Namangan,Appeared consistently across multiple Russian-language search queries; no independent website found.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
imagine-dizayn-studiyasi-namangan,IMAGINE dizayn studiyasi,Namangan,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998902000167 / +998916155802,Not determinable,Instagram,Uzbek,https://www.instagram.com/reel/DbYfQDSKMUv/,,Actively posts project reels/portfolio content on Instagram | Two direct contact phone numbers advertised in bio/captions,"Recurred across several Uzbek and Russian search queries with matching phone numbers, indicating an active, real studio. Instagram profile could not be fully scraped (login wall); info taken from public reel captions.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
creative-home-namangan,Creative Home,Namangan,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,Namangan (exact address not captured),Not determinable,Russian/Uzbek,https://yandex.uz/maps/org/216641874828/,,Listed on Yandex Maps as 'Interyer dizayni' (interior design) provider,Found via Uzbek-language search ('interyer dizayni studiyasi Namangan'); limited public information available.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
bobur-dizayn-studiyasi-namangan,Bobur Dizayn Studiyasi,Namangan,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Namangan,Facebook,Uzbek,https://www.facebook.com/boburdizaynstudiya/,,Dedicated Facebook business page for interior design services in Namangan,Facebook page could not be scraped in full (platform restrictions); identified via Uzbek-language search results.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
luxhouse-namangan-service-page-namangan,Luxhouse (Namangan service page),Namangan,Hybrid,Architecture Studio + Interior Designer (regional branch/service area of a Tashkent-headquartered multi-city studio),Retail,Proyectos,No,"No local Namangan office address given; only contact address listed is the Tashkent HQ (ul. Navoi 9, office 412). Namangan page functions as a service-area landing page, not a confirmed physical branch.",High,"Premium positioning implied by portfolio (bank HQ interiors, hotel/restaurant complexes, developer sales offices)",Design only,luxhouse_s@mail.ru,+998 88 111 90 90 / +998 90 348 10 47,"100071, Tashkent, ul. Navoi 9, office 412 (HQ; serves Namangan remotely/on-project-basis)",Multiple,Russian,https://luxhouse.uz/namangan,,"""We create unique architectural projects, stylish interiors and functional spaces"" - full-service architecture + commercial/residential interior design + landscaping | Portfolio includes AgroBank interior and the sales office for developer Golden House | Part of a multi-city network (Tashkent, Samarkand, Andijan, Bukhara, Fergana, plus Kazakhstan/Russia franchises)","Genuinely active, professional studio with strong portfolio, but no verified physical presence in Namangan itself - likely serves Namangan clients from Tashkent. Included as a relevant Design+Architecture actor targeting the Namangan market; worth verifying local office before outreach. | v3.0 reclass: Portfolio explicitly includes an interior design commission for developer Golden House's sales office plus a bank (AgroBank) branch interior, alongside general residential/commercial design claims -> dual-listed, with Proyectos as primary given the direct developer relationship.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
step-egamberdiev-mebel-fabrikasi-namangan,STEP Фабрика мебели (Egamberdiev Mebel Fabrikasi),Namangan,Kitchen,,Retail,,Yes,"Listed as a furniture factory ('фабрика мебели') with a physical street address in Namangan, implying an on-site showroom/factory outlet typical of this business type.",Medium,"v2.0: inferred from segment positioning (B. Premium Kitchen & Custom Furniture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,abdufattayev98@gmail.com,+998 55... (number masked in directory listing),"160800, Namangan region, Namangan, ul. Beruni Sohili, 6",Website,Russian,https://www.yellowpages.uz/kompaniya/step-fabrika-mebeli,,"Only company formally listed under 'Kitchen furniture, custom kitchens' category for Namangan on Yellow Pages Uzbekistan | Operates as a furniture factory (own production), brand name 'STEP'","Listed website 'stepmebel.uz' could not be reached (DNS resolution failed at time of research) - may be inactive/changed domain; legal name is 'Egamberdiev Mebel Fabrikasi' ЧП, which closely matches the Instagram handle 'egamebel_uz' found in earlier searches (likely the same business).",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
al-aziz-mebel-namangan,AL AZIZ MEBEL,Namangan,Kitchen,,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (B. Premium Kitchen & Custom Furniture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,+998882555566 / +998993200007 / +998931936068,Namangan (Mingbuloq area referenced); free delivery within Namangan city,Instagram,Uzbek,https://www.instagram.com/al_aziz_mebelnamangan_uz/,,"Custom-order kitchen, wardrobe and bedroom furniture ('Oshxona | Shkaf | Yotoqxona') | Advertises '1 year service warranty' and free delivery across Namangan city | ""Sifat & aniqlik"" (Quality & precision) as tagline","Multiple related/possibly-affiliated Instagram accounts found (al_aziz_mebelnamangan_uz, all.aziz.mebel, Al Aziz Mebel Facebook page) - likely the same family business operating across platforms.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
namangan-mebel-zakaz-namangan,Namangan Mebel Zakaz,Namangan,Kitchen,Custom furniture incl. kitchens,Retail,,Not determinable,,High,Value/mid-market signal ('optimal prices') rather than premium,Design+Install+Supply,,+99893 943 55 34,Namangan,Instagram,Russian,https://www.instagram.com/namangan_mebel_zakaz/,,"""Оптимальные цены и отличное качество"" (Optimal prices and excellent quality) | Product range: kitchen furniture, bedroom sets, children's furniture",Active Instagram presence with consistent phone number across multiple posts/reels found in search.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
granit-va-mramor-namangan,Granit va Mramor,Namangan,Kitchen & Bath,Natural stone (granite/marble) products retailer/fabricator - relevant as a premium materials showroom,Retail,,Yes,Listed on Yandex Maps as a physical shop/workshop selling granite and marble stone products at a specific street address in Namangan.,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,,Namangan (street address on Yandex Maps listing),Not determinable,Russian,https://yandex.ru/maps/org/granit_va_mramor/2925973098/,"Granite, Marble (natural stone)",Direct name translation 'Granite and Marble' - core business is natural stone products/countertops,Closest match found in Namangan to a 'premium materials showroom' (stone/quartz/marble) category; natural stone competitor/adjacent category to Cosentino's Silestone/Dekton/Sensa surfaces - potentially relevant both as a competitor benchmark and as a channel partner conversation.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
mramor-granit-master-granit-namangan-namangan,Mramor Granit Master (@granit.namangan),Namangan,Kitchen & Bath,Granite/marble/tile fabrication and installation - premium materials showroom category,Retail,,Not determinable,,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,,Namangan,Instagram,Russian,https://www.instagram.com/reel/DZu0zRwo9u-/,"Granite, Marble, Ceramic tile ('керамогранит', 'кафель', 'мрамор', 'гранит')","Positions around 'КЕРАМОГРАНИТ | КАФЕЛЬ | ГРАНИТ | МРАМОР' (porcelain tile | tile | granite | marble) - directly relevant natural/engineered stone materials retailer | Regularly posts installation/fabrication project reels (countertops, staircases, cladding)","A second, related Instagram account 'master.granit.official' was also found using very similar branding/content - may be the same business or a close local competitor; worth disambiguating before outreach.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
renaissance-design-rdesign-uz-samarkand,Renaissance Design (rdesign.uz),Samarkand,Hybrid,Interior Design + Architecture Studio,Retail,,Not determinable,"Listed as a studio/office on Yandex Maps and 2GIS ('Renaissance', 'Архитектурное бюро'); no explicit product showroom mentioned.",Medium,Not determinable,Design+Build,info@rdesign.uz,+998 91 555 24 04 / +998 33 094 55 55,"Samarkand, ul. Davlatabad 14 (also listed as ul. Mirzo Ulugbeka 58)",Multiple,Russian/English,https://www.facebook.com/rdesignuz/ ; https://yandex.ru/maps/org/renaissance/144747054398/ ; https://samcity.uz/catalog/item/studiya-renaissance-design,Not determinable,Full-cycle interior design and architectural design projects | Any project executed according to client's wishes | Also offers renovation/fit-out of premises,"Appears under both 'Renaissance' and 'Renaissance Design' names across directories (Yandex Maps, 2GIS, samcity.uz, Facebook). 2GIS categorizes it under interior design, architectural design and premises renovation.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
stildi-interior-studio-samarkand,Stildi Interior Studio,Samarkand,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 97 925 32 36,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/diyora_vagizova/ ; https://2gis.uz/samarkand/firm/70000001095137355,Not determinable,"Design of houses, apartments and commercial spaces | Founder Diyora Vagizova also teaches interior design at KIUT university | Personal-brand studio with active Instagram presence","Studio also appears on 2GIS as 'Стильdi, дизайн-студия'. Founder-led boutique studio rather than a large firm.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
studio-662-samarkand,Studio 662,Samarkand,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install,,+998 99 662 06 62,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/studio_662/,Not determinable,"Design projects and turnkey renovation ('Ремонт под ключ') | 7,300+ Instagram followers, 311 posts — established local presence | Owner-operated studio (@bekzod_662_)",,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
id-studio-samarkand,ID Studio,Samarkand,Interior Designer (Retail),,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,"Samarkand, Prospekt Zarafshan",Website,Russian,https://yandex.ru/maps/10334/samarkand/category/interior_design/184107539/,Not determinable,"Listed under Samarkand interior-design category on Yandex Maps, rating 3.9",Very limited public information found beyond directory listing; included as a best-available candidate for the Interior Designer category.,existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
mag-projecting-samarkand,MAG PROJECTING,Samarkand,Hybrid,Architecture + Interior Design + Branding studio,Retail,,Not determinable,,Medium,Starting price stated: 'от 104 000 UZS/м2' for a single floor-plan solution (3D),Design only,,,Not determinable (studio serves Uzbekistan-wide clients),Website,Russian,http://mag.pro.tilda.ws/,Not determinable,"Architecture, interior design and branding under one roof | Hundreds of realized projects in Uzbekistan and abroad | Full cycle from concept to realization","Site does not confirm a Samarkand physical office; found via Samarkand-targeted search so likely serves the city but HQ location unconfirmed. | REVISAR: Combines architecture + interior design + branding services, which suggests a possible B2B/corporate client base (branding services are not typically bought by individual homeowners), but no developer, hospitality, or named commercial client is confirmed in the source. Defaulted to original Retail channel pending verification of actual client mix.",existing_v2_reclassified,n/a (reclassification only),No,retail_dataset_seed.json,,,
